L1,L2,L3,GROUP_DVS_CD,관리 계정 코드,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,계정코드,,계정명,,계정코드,,계정명
,H/W,PC/노트북/모니터,ETC,IT-201,60114305,1,소모품비(전산용품비),,일반관리비,판매비및일반관리비,소모품비 (601143),60114305,1,소모품비(전산용품비),,일반관리비,판매비및일반관리비,소모품비 (601143),60114305,1,소모품비(전산용품비),,830,,소모품비,,,,
,,,ETC,IT-201,60114739,1,경상시험연구비(소모품비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114739,1,경상시험연구비(소모품비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114739,1,경상시험연구비(소모품비),,,,,,,,
,,,ETC,IT-201,10332705,1,공구와기구(전산하드웨어),,,유형자산 (1033),공구와기구 (103327),10332705,1,공구와기구(전산하드웨어),,,유형자산 (1033),공구와기구 (103327),10332705,1,공구와기구(전산하드웨어),,,,,,,,
,,서버,ETC,IT-202,10330701,1,시설장치,,일반관리비,유형자산 (1033),시설장치 (103307),10330701,1,시설장치,,일반관리비,유형자산 (1033),시설장치 (103307),10333701,1,시설장치,,219,,시설장치,,206,,기계장치(설비)
,,,ETC,IT-202,10330901,1,시설장치감가상각누계액,,일반관리비,유형자산 (1033),시설장치감가상각누계액 (103309),10330901,1,시설장치감가상각누계액,,일반관리비,유형자산 (1033),시설장치감가상각누계액 (103309),10333901,1,시설장치감가상각누계액,,206,,기계장치,,,,
,,,ETC,IT-202,10331101,1,기계장치,,,유형자산 (1033),기계장치 (103311),10331101,1,기계장치,,,유형자산 (1033),기계장치 (103311),10331101,1,기계장치,,,,,,,,
,,,ETC,IT-202,10331301,1,기계장치감가상각누계액,,,유형자산 (1033),기계장치감가상각누계액 (103313),10331301,1,기계장치감가상각누계액,,,유형자산 (1033),기계장치감가상각누계액 (103313),10331301,1,기계장치감가상각누계액,,,,,,,,
,,GPU(보유형),ETC,IT-203,10333701,1,연구기자재,,일반관리비,유형자산 (1033),연구기자재 (103337),10333701,1,연구기자재,,,,,,,,,,,,,,,
,,,ETC,IT-203,10333801,1,연구기자재감가상각누계액,,일반관리비,유형자산 (1033),연구기자재감가상각누계액 (103338),10333801,1,연구기자재감가상각누계액,,,,,,,,,,,,,,,
,,소모품,ETC,IT-204,60114307,1,소모품비(전산용품비(공통)),,일반관리비,판매비및일반관리비,소모품비 (601143),60114307,1,소모품비(전산용품비(공통)),,일반관리비,판매비및일반관리비,소모품비 (601143),60114307,1,소모품비(전산용품비(공통)),,,,,,,,
,,,ETC,IT-204,50151305,1,원가)소모품비(전산용품비),,용역원가,경 비 (5015),원가)소모품비 (501513),50151305,1,원가)소모품비(전산용품비),,용역원가,경 비 (5015),원가)소모품비 (501513),50151305,1,원가)소모품비(전산용품비),,,,,,,,
,,,ETC,IT-204,,,,,,,,,,,,용역원가,경 비 (5015),원가)소모품비 (501513),50151307,1,원가)소모품비(전산용품비(현장)),,,,,,,,
,,HW 수선비,ETC,IT-205,60113707,1,수선비(전산),,일반관리비,판매비및일반관리비 (6011),수선비 (601137),60113707,1,수선비(전산),,일반관리비,판매비및일반관리비 (6011),수선비 (601137),60113707,1,수선비(전산),,,,,,,,
,,,ETC,IT-205,50150707,1,원가)수선비(전산),,용역원가,경 비 (5015),원가)수선비 (501507),50150707,1,원가)수선비(전산),,용역원가,경 비 (5015),원가)수선비 (501507),50150707,1,원가)수선비(전산),,,,,,,,
,클라우드/인프라,클라우드/인프라,ETC,IT-301,60116399,1,지급수수료(기타),,일반관리비,판매비및일반관리비 (6011),지급수수료 (601163),60116399,1,지급수수료(기타),,일반관리비,판매비및일반관리비 (6011),지급수수료 (601163),60116399,1,지급수수료(기타),,,,,,,,
,,,ETC,IT-301,60114733,1,경상시험연구비(지급수수료),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114733,1,경상시험연구비(지급수수료),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114733,1,경상시험연구비(지급수수료),,,,,,,,
,,,ETC,IT-301,50153199,1,원가)지급수수료(기타),,용역원가,경 비 (5015),원가)지급수수료 (501531),50153199,1,원가)지급수수료(기타),,용역원가,경 비 (5015),원가)지급수수료 (501531),50153199,1,원가)지급수수료(기타),,,,,,,,
,,,ETC,IT-301,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ETC,IT-301,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ETC,IT-301,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ETC,IT-301,,,,,,,,,,,,,,,,,,,,,,,,,
,보안/도메인,보안/도메인,ETC,IT-401,60116101,1,"통신비(전화,TV,인터넷)",,일반관리비,판매비및일반관리비 (6011),통신비 (601161),60116101,1,"통신비(전화,TV,인터넷)",,일반관리비,판매비및일반관리비 (6011),통신비 (601161),60116105,1,통신비(PC통신및인터넷),,,,,,,,
,,,ETC,IT-401,50152901,1,"원가)통신비(전화,TV,인터넷)",,용역원가,경 비 (5015),원가)통신비 (501529),50152901,1,"원가)통신비(전화,TV,인터넷)",,용역원가,경 비 (5015),원가)통신비 (501529),50152905,1,원가)통신비(PC통신및인터넷),,,,,,,,
,,,ETC,IT-401,,,,,,,,,,,,,,,,,,,,,,,,,
마케팅/세일즈,홍보,홍보,ETC,MK-101,60115599,1,광고선전비(기타),,일반관리비,판매비및일반관리비,광고선전비 (601155),60115599,1,광고선전비(기타),,일반관리비,판매비및일반관리비,광고선전비 (601155),60115599,1,광고선전비(기타),,827,,광고선전비,,833,,광고선전비
,,,ETC,MK-101,,,,,일반관리비,판매비및일반관리비,광고선전비 (601155),60115501,1,광고선전비(신문광고료),,일반관리비,판매비및일반관리비 (6011),광고선전비 (601155),60115501,1,광고선전비(신문광고료),,,,,,,,
,,,ETC,MK-101,60114199,1,지급임차료(기타),,일반관리비,판매비및일반관리비 (6011),지급임차료 (601141),60114199,1,지급임차료(기타),,일반관리비,판매비및일반관리비 (6011),지급임차료 (601141),60114199,1,지급임차료(기타),,,,,,,,
,,,ETC,MK-101,60114505,1,도서인쇄비(현수막),,일반관리비,판매비및일반관리비 (6011),도서인쇄비 (601145),60114505,1,도서인쇄비(현수막),,,,,,,,,,,,,,,
,,,ETC,MK-101,60114507,1,도서인쇄비(인쇄비),,일반관리비,판매비및일반관리비 (6011),도서인쇄비 (601145),60114507,1,도서인쇄비(인쇄비),,일반관리비,판매비및일반관리비 (6011),도서인쇄비 (601145),60114507,1,도서인쇄비(인쇄비),,,,,,,,
,,,ETC,MK-101,60114781,1,경상시험연구비(광고선전비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114781,1,경상시험연구비(광고선전비),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114781,1,경상시험연구비(광고선전비),,,,,,,,
,,,ETC,MK-101,50152301,1,원가)광고선전비(신문광고료),,용역원가,경 비 (5015),원가)광고선전비 (501523),50152301,1,원가)광고선전비(신문광고료),,용역원가,경 비 (5015),원가)광고선전비 (501523),50152301,1,원가)광고선전비(신문광고료),,,,,,,,
,,,ETC,MK-101,50152399,1,원가)광고선전비(기타),,용역원가,경 비 (5015),원가)광고선전비 (501523),50152399,1,원가)광고선전비(기타),,용역원가,경 비 (5015),원가)광고선전비 (501523),50152399,1,원가)광고선전비(기타),,,,,,,,
,,,ETC,MK-101,50151505,1,원가)도서인쇄비(현수막),,용역원가,경 비 (5015),원가)도서인쇄비 (501515),50151505,1,원가)도서인쇄비(현수막),,,,,,,,,,,,,,,
